complaint_text,category,department,priority,resolution_time_days
"Since 4 days in Viman Nagar Pune, dump and service is completely down. RefH253",Sanitation & Garbage,Municipal Corporation,High,1
"When possible, improve hospital isssue at Dwarka Delhi; issue is low priority now. RefL48",Healthcare,Health Department,Low,15
"Aliganj Lucknow has blackout sometimes, response is slow and there is delay. RefM212",Electricity,Electricity Board,Medium,4
"Since 7 days in Ameerpet Hyderabad, power cut and service is completely down. RefH282",Electricity,Electricity Board,High,2
"Please improve transport issue in Kondapur Hyderabad, this is a minor suggestion. RefL173",Public Transport,Transport Department,Low,8
There is transport style delay in service at Sector 21 Gurugram due to no water. RefM45,Water Supply,Municipal Corporation,Medium,6
"Kothrud Pune facing voltage issue continuously for 7 days, urgent action needed. RefH331",Electricity,Electricity Board,High,3
"Please improve littering in Behala Kolkata, this is a minor suggestion. RefL491",Sanitation & Garbage,Municipal Corporation,Low,9
"When possible, improve transport issue at Kothrud Pune; issue is low priority now. RefL425",Public Transport,Transport Department,Low,8
"Routine complaint from Behala Kolkata on litter, not urgnt but needs attention. RefL477",Sanitation & Garbage,Municipal Corporation,Low,12
"Please improve appointment slot delay in T Nagar Chennai, this is a minor suggestion. RefL98",Government Services,Revenue Department,Low,11
"Thane West has medical problem sometimes, response is slow and there is delay. RefM139",Healthcare,Health Department,Medium,6
"In T Nagar Chennai, road damage is moderate but regular from last 2 days. RefM165",Roads & Infrastructure,PWD,Medium,3
"Please improve no water in Kothrud Pune, this is a minor suggestion. RefL437",Water Supply,Municipal Corporation,Low,7
"Small inconvenience in Karol Bagh Delhi because of blackout, kindly review. RefL352",Electricity,Electricity Board,Low,10
"In Ameerpet Hyderabad we have severe no water for 5 days, please fix urgently. RefH458",Water Supply,Municipal Corporation,High,1
"Since 9 days in Aliganj Lucknow, late buses and service is completely down. RefH215",Public Transport,Transport Department,High,1
"Please improve certificate not updated in Bopal Ahmedabad, this is a minor suggestion. RefL413",Government Services,Revenue Department,Low,7
There is transport style delay in service at Bopal Ahmedabad due to potholes. RefM151,Roads & Infrastructure,PWD,Medium,4
"In Viman Nagar Pune, waste is moderate but regular from last 2 days. RefM225",Sanitation & Garbage,Municipal Corporation,Medium,6
"Routine complaint from Aliganj Lucknow on hospital issue, not urgent but needs attention. RefL314",Healthcare,Health Department,Low,12
"Miyapur Hyderabad has outage sometimes, response is slow and there is delay. RefM219",Electricity,Electricity Board,Medium,5
There is transport style delay in service at Kothrud Pune due to potholes. RefM270,Roads & Infrastructure,PWD,Medium,4
"Civil Lines Prayagraj has dumping sometimes, response is slow and there is delay. RefM421",Sanitation & Garbage,Municipal Corporation,Medium,7
There is transport style delay in service at Whitefield Bengaluru due to token not generated. RefM308,Government Services,Revenue Department,Medium,7
"Average level littering seen in Miyapur Hyderabad, issue pending from 1 days. RefM57",Sanitation & Garbage,Municipal Corporation,Medium,7
"Routine complaint from Aliganj Lucknow on waste, not urgent but needs attention. RefL57",Sanitation & Garbage,Municipal Corporation,Low,13
"application pending not working in Gachibowli Hyderabad from 5 days, situation is very high impact. RefH56",Government Services,Revenue Department,High,3
"Small inconvenience in Saket Delhi because of littering, kindly review. RefL323",Sanitation & Garbage,Municipal Corporation,Low,9
"Routine complaint from Laxmi Nagar Delhi on water shortage, not urgent but needs attention. RefL227",Water Supply,Municipal Corporation,Low,7
"In Rajendra Nagar Patna, road damage is moderate but regular from last 1 days. RefM480",Roads & Infrastructure,PWD,Medium,5
"Bopal Ahmedabad has transport issue sometimes, response is slow and there is delay. RefM264",Public Transport,Transport Department,Medium,3
"Since 5 days in Perungudi Chennai, hospital issue and service is completely down. RefH111",Healthcare,Health Department,High,2
"Small inconvenience in Thane West because of pipeline issue, kindly review. RefL73",Water Supply,Municipal Corporation,Low,7
"When possible, improve medical problem at Lalpur Ranchi; isssue is low priority now. RefL90",Healthcare,Health Department,Low,11
"Average level no buses seen in Dwarka Delhi, issue pending from 2 days. RefM278",Public Transport,Transport Department,Medium,6
"When possible, improve hospital issue at Laxmi Nagar Delhi; issue is low priority now. RefL104",Healthcare,Health Department,Low,8
"Ashok Vihar Delhi has potholes sometimes, response is slow and ther is delay. RefM81",Roads & Infrastructure,PWD,Medium,4
"Please improve no buses in Shivajinagar Pune, this is a minor suggestion. RefL348",Public Transport,Transport Department,Low,12
"Karol Bagh Delhi has potholes sometimes, response is slow and there is delay. RefM375",Roads & Infrastructure,PWD,Medium,5
"Small inconvenience in Miyapur Hyderabad because of hospital issue, kindly review. RefL237",Healthcare,Health Department,Low,14
"Routine complaint from Kondapur Hyderabad on broken roads, not urgent but needs attention. RefL284",Roads & Infrastructure,PWD,Low,8
"potholes not working in T Nagar Chennai from 8 days, situation is very high impact. RefH25",Roads & Infrastructure,PWD,High,1
"Small inconvenience in Viman Nagar Pune because of blackout, kindly review. RefL142",Electricity,Electricity Board,Low,13
"dumping not working in Indiranagar Bengaluru from 8 days, situation is very high impact. RefH120",Sanitation & Garbage,Municipal Corporation,High,3
"Saket Delhi facing no buses continuously for 8 days, urgent action needed. RefH187",Public Transport,Transport Department,High,3
"Since 9 days in Viman Nagar Pune, road damage and servce is completely down. RefH347",Roads & Infrastructure,PWD,High,1
"When possible, improve supply problem at Karol Bagh Delhi; issue is low priority now. RefL339",Water Supply,Municipal Corporation,Low,13
"Average level road damage seen in Thane West, issue pending from 2 days. RefM214",Roads & Infrastructure,PWD,Medium,3
"Routine complaint from Thane West on record mismatch, not urgent but needs attention. RefL427",Government Services,Revenue Department,Low,14
"In Shivajinagar Pune, bad roads is moderate but regular from last 1 days. RefM137",Roads & Infrastructure,PWD,Medium,7
"road damage not working in Patia Bhubaneswar from 5 days, situation is very high impact. RefH207",Roads & Infrastructure,PWD,High,3
"plese improve portal status stuck in Whitefield Bengaluru, this is a minor suggestion. RefL252",Government Services,Revenue Department,Low,13
"Patia Bhubaneswar facing portal status stuck continuously for 3 days, urgent action needed. RefH329",Government Services,Revenue Department,High,3
"In Hinjewadi Pune, transport issue is moderate but regular from last 1 days. RefM383",Public Transport,Transport Department,Medium,5
"When possible, improve bus delay at Howrah Maidan; issue is low priority now. RefL362",Public Transport,Transport Department,Low,14
"In Anna Nagar Chennai, no doctor is moderate but regular from last 1 days. RefM132",Healthcare,Health Department,Medium,3
"In Gachibowli Hyderabad we have severe outage for 4 days, plese fix urgently. RefH142",Electricity,Electricity Board,High,3
"In Ashok Vihar Delhi, no doctor is moderate but regular from last 2 days. RefM426",Healthcare,Health Department,Medium,5
"bad roads not working in Ameerpet Hyderabad from 5 days, situation is very high impact. RefH81",Roads & Infrastructure,PWD,High,1
"Please improve hospital issue in Kothrud Pune, this is a minor suggestion. RefL461",Healthcare,Health Department,Low,9
"Adyar Chennai facing bus delay continuously for 9 days, urgent action needed. RefH474",Public Transport,Transport Department,High,1
"Kakadeo Kanpur has record mismatch sometimes, response is slow and there is delay. RefM371",Government Services,Revenue Department,Medium,5
"Gachibowli Hyderabad has dirty sometimes, response is slow and there is delay. RefM204",Sanitation & Garbage,Municipal Corporation,Medium,7
"Small inconvenience in Miyapur Hyderabad because of potholes, kindly review. RefL452",Roads & Infrastructure,PWD,Low,7
"Kondapur Hyderabad has no electricity sometimes, response is slow and there is delay. RefM310",Electricity,Electricity Board,Medium,3
"Small inconvenience in Laxmi Nagar Delhi because of road damage, kindly review. RefL109",Roads & Infrastructure,PWD,Low,9
"When possible, improve medical problem at Behala Kolkata; issue is low priority now. RefL230",Healthcare,Health Department,Low,12
"dump not working in Kakadeo Kanpur from 3 days, situation is very high impact. RefH407",Sanitation & Garbage,Municipal Corporation,High,1
"Viman Nagar Pune facing broken roads continuously for 6 days, urgent action needed. RefH361",Roads & Infrastructure,PWD,High,3
"Ashok Vihar Delhi facing littering continuously for 8 days, urgent action needed. RefH274",Sanitation & Garbage,Municipal Corporation,High,1
"Average level no doctor seen in Salt Lake Kolkata, isssue pending from 2 days. RefM265",Healthcare,Health Department,Medium,4
"When possible, improve water shortage at Gomti Nagar Lucknow; isssue is low priority now. RefL136",Water Supply,Municipal Corporation,Low,7
"Gachibowli Hyderabad facing littering continuously for 5 days, urgent action needed. RefH372",Sanitation & Garbage,Municipal Corporation,High,1
There is transport style delay in service at Aliganj Lucknow due to verification not completed. RefM154,Government Services,Revenue Department,Medium,4
"Average level verification not completed seen in Behala Kolkata, issue pending from 1 days. RefM91",Government Services,Revenue Department,Medium,3
"no electricity not working in Thane West from 7 days, situation is very high impact. RefH303",Electricity,Electricity Board,High,2
"Andheri East Mumbai has late buses sometimes, response is slow and there is delay. RefM481",Public Transport,Transport Department,Medium,4
"Adyar Chennai facing hospital issue continuously for 3 days, urgent action needed. RefH139",Healthcare,Health Department,High,2
"Average level medical problem seen in Mayur Vihar Delhi, issue pending from 1 days. RefM209",Healthcare,Health Department,Medium,5
"Please improve litter in Adyar Chennai, this is a minor suggestion. RefL127",Sanitation & Garbage,Municipal Corporation,Low,8
"application pending not working in Thane West from 4 days, situation is very high impact. RefH70",Government Services,Revenue Department,High,1
"Average level supply problem seen in T Nagar Chennai, issue pending from 2 days. RefM437",Water Supply,Municipal Corporation,Medium,7
"When possible, improve hospital issue at Salt Lake Kolkata; issue is low priority now. RefL6",Healthcare,Health Department,Low,12
"Saket Delhi facing bus delay continuously for 4 days, urgent action needed. RefH404",Public Transport,Transport Department,High,1
"Please improve application pending in Rajendra Nagar Patna, this is a minor suggestion. RefL182",Government Services,Revenue Department,Low,7
"Small inconvenience in Nerul Navi Mumbai because of broken roads, kindly review. RefL53",Roads & Infrastructure,PWD,Low,7
"littering not working in Adyar Chennai from 6 days, situation is very high impact. RefH491",Sanitation & Garbage,Municipal Corporation,High,1
"supply problem not working in Kothrud Pune from 7 days, situation is very high impact. RefH339",Water Supply,Municipal Corporation,High,1
"Please improve road damage in Mayur Vihar Delhi, this is a minor suggestion. RefL319",Roads & Infrastructure,PWD,Low,14
"hospital issue not working in Kakadeo Kanpur from 6 days, situation is very high impact. RefH34",Healthcare,Health Department,High,3
"Routine complaint from Rajendra Nagar Patna on appointment slot delay, not urgent but needs attention. RefL77",Government Services,Revenue Department,Low,12
"Average level outage seen in Bopal Ahmedabad, issue pending from 1 days. RefM373",Electricity,Electricity Board,Medium,3
"In Noida Sector 62, power cut is moderate but regular from last 2 days. RefM23",Electricity,Electricity Board,Medium,6
"Routine complaint from Kothrud Pune on power cut, not urgent but needs attention. RefL345",Electricity,Electricity Board,Low,12
"In Kankarbagh Patna, bus delay is moderate but regular from last 2 days. RefM257",Public Transport,Transport Department,Medium,6
"Since 9 days in Civil Lines Prayagraj, supply problem and service is completely down. RefH367",Water Supply,Municipal Corporation,High,2
"Since 4 days in Behala Kolkata, outage and service is completely down. RefH65",Electricity,Electricity Board,High,3
"Average level outage seen in Noida Sector 62, issue pending from 2 days. RefM394",Electricity,Electricity Board,Medium,3
"appointment slot delay not working in Hinjewadi Pune from 4 days, situation is very high impact. RefH434",Government Services,Revenue Department,High,2
"Nerul Navi Mumbai facing bus delay continuously for 7 days, urgent action needed. RefH96",Public Transport,Transport Department,High,2
"Average level power cut seen in Perungudi Chennai, issue pending from 1 days. RefM429",Electricity,Electricity Board,Medium,6
"Routine complaint from Bopal Ahmedabad on no electricity, not urgent but needs attention. RefL296",Electricity,Electricity Board,Low,8
"In Aliganj Lucknow, pipeline issue is moderate but regular from last 2 days. RefM171",Water Supply,Municipal Corporation,Medium,5
"Please improve supply problem in Howrah Maidan, this is a minor suggestion. RefL262",Water Supply,Municipal Corporation,Low,15
There is transport style delay in service at Indiranagar Bengaluru due to road damage. RefM291,Roads & Infrastructure,PWD,Medium,7
"Small inconvenience in Andheri East Mumbai because of token not generated, kindly review. RefL371",Government Services,Revenue Department,Low,12
"Routine complaint from Mansarovar Jaipur on water shortage, not urgent but needs attention. RefL416",Water Supply,Municipal Corporation,Low,10
"In Anna Nagar Chennai we have severe bad roads for 8 days, please fix urgently. RefH60",Roads & Infrastructure,PWD,High,3
"In Mayur Vihar Delhi we have severe bus delay for 4 days, please fix urgently. RefH19",Public Transport,Transport Department,High,1
"In Whitefield Bengaluru, supply problem is moderate but regular from last 1 days. RefM108",Water Supply,Municipal Corporation,Medium,4
"In Adyar Chennai we have severe pipeline issue for 7 days, please fix urgently. RefH38",Water Supply,Municipal Corporation,High,3
"Since 6 days in Andheri East Mumbai, portal status stuck and service is completely down. RefH175",Government Services,Revenue Department,High,3
There is transport style delay in service at Gomti Nagar Lucknow due to no water. RefM164,Water Supply,Municipal Corporation,Medium,3
"When possible, improve transport issue at Patia Bhubaneswar; issue is low priority now. RefL236",Public Transport,Transport Department,Low,8
"Routine complaint from Nerul Navi Mumbai on late buses, not urgnt but needs attention. RefL481",Public Transport,Transport Department,Low,10
"In Dwarka Delhi, no water is moderate but regular from last 2 days. RefM227",Water Supply,Municipal Corporation,Medium,4
There is transport style delay in service at Gomti Nagar Lucknow due to outage. RefM415,Electricity,Electricity Board,Medium,7
"In Salt Lake Kolkata, no doctor is moderate but regular from last 2 days. RefM90",Healthcare,Health Department,Medium,3
ther is transport style delay in service at Thane West due to no electricity. RefM261,Electricity,Electricity Board,Medium,4
"In Thane West, littering is moderate but regular from last 2 days. RefM218",Sanitation & Garbage,Municipal Corporation,Medium,6
"Adyar Chennai has appointment slot delay sometimes, response is slow and there is delay. RefM364",Government Services,Revenue Department,Medium,5
"Please improve bus delay in Howrah Maidan, this is a minor suggestion. RefL96",Public Transport,Transport Department,Low,14
"Small inconvenience in Kankarbagh Patna because of late buses, kindly review. RefL355",Public Transport,Transport Department,Low,8
There is transport style delay in service at Kothrud Pune due to no electricity. RefM114,Electricity,Electricity Board,Medium,3
"Small inconvenience in Banashankari Bengaluru because of record mismatch, kindly review. RefL287",Government Services,Revenue Department,Low,10
There is transport style delay in service at Anna Nagar Chennai due to application pending. RefM301,Government Services,Revenue Department,Medium,7
"Average level power cut seen in Anna Nagar Chennai, issue pending from 1 days. RefM65",Electricity,Electricity Board,Medium,7
"hospital issue not working in Mansarovar Jaipur from 5 days, situation is very high impact. RefH489",Healthcare,Health Department,High,2
"Routine complaint from Vaishali Ghaziabad on broken roads, not urgent but needs attention. RefL326",Roads & Infrastructure,PWD,Low,13
"Please improve dump in T Nagar Chennai, this is a minor suggestion. RefL50",Sanitation & Garbage,Municipal Corporation,Low,14
"In Gomti Nagar Lucknow we have severe no water for 7 days, please fix urgently. RefH409",Water Supply,Municipal Corporation,High,1
"Please improve verification not completed in Mayur Vihar Delhi, this is a minor suggestion. RefL469",Government Services,Revenue Department,Low,9
"When possible, improve hospital issue at Bopal Ahmedabad; issue is low priority now. RefL356",Healthcare,Health Department,Low,13
"Routine complaint from Hinjewadi Pune on bus delay, not urgent but needs attention. RefL229",Public Transport,Transport Department,Low,9
"Small inconvenience in Ameerpet Hyderabad because of hospital issue, kindly review. RefL468",Healthcare,Health Department,Low,8
"Whitefield Bengaluru has verification not completed sometimes, response is slow and ther is delay. RefM343",Government Services,Revenue Department,Medium,6
"In Karol Bagh Delhi we have severe power cut for 9 days, please fix urgently. RefH51",Electricity,Electricity Board,High,1
"In Ashok Vihar Delhi we have severe no water for 8 days, please fix urgently. RefH297",Water Supply,Municipal Corporation,High,3
"Please improve appointment slot delay in Shivajinagar Pune, this is a minor suggestion. RefL301",Government Services,Revenue Department,Low,11
"Please improve outage in Dwarka Delhi, this is a minor suggestion. RefL471",Electricity,Electricity Board,Low,8
"In Kakadeo Kanpur we have severe no water for 5 days, please fix urgently. RefH465",Water Supply,Municipal Corporation,High,3
"Small inconvenience in Thane West becuse of blackout, kindly review. RefL247",Electricity,Electricity Board,Low,8
"Since 7 days in Aliganj Lucknow, dump and service is completely down. RefH57",Sanitation & Garbage,Municipal Corporation,High,1
"late buses not working in Kondapur Hyderabad from 9 days, situation is very high impact. RefH299",Public Transport,Transport Department,High,1
"Since 5 days in Laxmi Nagar Delhi, potholes and service is completely down. RefH95",Roads & Infrastructure,PWD,High,1
"Please improve outage in Nerul Navi Mumbai, this is a minor suggestion. RefL240",Electricity,Electricity Board,Low,9
"Routine complaint from Perungudi Chennai on no buses, not urgent but needs attention. RefL103",Public Transport,Transport Department,Low,13
"Routine complaint from Thane West on hospital issue, not urgent but needs attention. RefL489",Healthcare,Health Department,Low,11
"Laxmi Nagar Delhi has record mismatch sometimes, response is slow and there is delay. RefM413",Government Services,Revenue Department,Medium,4
"When possible, improve potholes at Dwarka Delhi; issue is low priority now. RefL438",Roads & Infrastructure,PWD,Low,13
"Please improve trash in Kondapur Hyderabad, this is a minor suggestion. RefL344",Sanitation & Garbage,Municipal Corporation,Low,9
"Vaishali Ghaziabad facing pipeline issue continuously for 4 days, urgent action needed. RefH276",Water Supply,Municipal Corporation,High,3
There is transport style delay in service at Gachibowli Hyderabad due to pipeline issue. RefM115,Water Supply,Municipal Corporation,Medium,7
"Small inconvenience in Mayur Vihar Delhi because of no doctor, kindly review. RefL132",Healthcare,Health Department,Low,9
"no electricity not working in Nerul Navi Mumbai from 9 days, situation is very high impact. RefH422",Electricity,Electricity Board,High,1
"Small inconvenience in Ameerpet Hyderabad because of late buses, kindly review. RefL201",Public Transport,Transport Department,Low,11
"Perungudi Chennai has power cut sometimes, response is slow and there is delay. RefM282",Electricity,Electricity Board,Medium,4
"In Kakadeo Kanpur we have severe blackout for 7 days, please fix urgently. RefH177",Electricity,Electricity Board,High,3
"When possible, improve certificate not updated at Kondapur Hyderabad; issue is low priority now. RefL91",Government Services,Revenue Department,Low,13
"Please improve no water in Miyapur Hyderabad, this is a minor suggestion. RefL374",Water Supply,Municipal Corporation,Low,15
"Please improve token not generated in Hinjewadi Pune, this is a minor suggestion. RefL245",Government Services,Revenue Department,Low,11
"In Bopal Ahmedabad, road damage is moderate but regular from last 1 days. RefM319",Roads & Infrastructure,PWD,Medium,3
"Vaishali Ghaziabad has potholes sometimes, response is slow and there is delay. RefM326",Roads & Infrastructure,PWD,Medium,3
"Routine complaint from Kakadeo Kanpur on medical problem, not urgent but needs attention. RefL97",Healthcare,Health Department,Low,15
"Please improve litter in Hinjewadi Pune, this is a minor suggestion. RefL295",Sanitation & Garbage,Municipal Corporation,Low,10
"Small inconvenience in Dwarka Delhi because of garbage, kindly review. RefL22",Sanitation & Garbage,Municipal Corporation,Low,7
"Shivajinagar Pune has hospital issue sometimes, response is slow and there is delay. RefM237",Healthcare,Health Department,Medium,5
"outage not working in Karol Bagh Delhi from 6 days, situation is very high impact. RefH107",Electricity,Electricity Board,High,1
"Hinjewadi Pune facing garbage continuously for 8 days, urgent action needed. RefH113",Sanitation & Garbage,Municipal Corporation,High,2
"Small inconvenience in Nerul Navi Mumbai because of medical problem, kindly review. RefL195",Healthcare,Health Department,Low,8
"Average level water shortage seen in Howrah Maidan, issue pending from 2 days. RefM59",Water Supply,Municipal Corporation,Medium,7
"Small inconvenience in Banashankari Bengaluru because of token not generated, kindly review. RefL238",Government Services,Revenue Department,Low,10
"Average level road damage seen in Banashankari Bengaluru, issue pending from 2 days. RefM95",Roads & Infrastructure,PWD,Medium,5
"Routine complaint from Noida Sector 62 on road damage, not urgent but needs attention. RefL410",Roads & Infrastructure,PWD,Low,11
There is transport style delay in service at Gachibowli Hyderabad due to pipeline issue. RefM430,Water Supply,Municipal Corporation,Medium,7
"Whitefield Bengaluru has dumping sometimes, response is slow and there is delay. RefM309",Sanitation & Garbage,Municipal Corporation,Medium,3
"Since 4 days in Mayur Vihar Delhi, dumping and service is completely down. RefH155",Sanitation & Garbage,Municipal Corporation,High,3
"Since 8 days in Vaishali Ghaziabad, potholes and servce is completely down. RefH130",Roads & Infrastructure,PWD,High,2
"Since 4 days in Behala Kolkata, hospital isssue and service is completely down. RefH27",Healthcare,Health Department,High,2
"Ameerpet Hyderabad facing bad roads continuously for 6 days, urgent action needed. RefH270",Roads & Infrastructure,PWD,High,3
"Small inconvenience in Saket Delhi because of unhygienic, kindly review. RefL78",Sanitation & Garbage,Municipal Corporation,Low,7
"Since 9 days in Thane West, blackout and service is completely down. RefH170",Electricity,Electricity Board,High,1
