complaint_text,category,department,priority,resolution_time_days
please improve certificate updated bopal ahmedabad minor suggestion refl,Government Services,Revenue Department,Low,7
transport style delay service bopal ahmedabad due pothole refm,Roads & Infrastructure,PWD,Medium,4
viman nagar pune waste moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,6
routine complaint aliganj lucknow hospital issue urgent need attention refl,Healthcare,Health Department,Low,12
miyapur hyderabad outage sometimes response slow delay refm,Electricity,Electricity Board,Medium,5
transport style delay service kothrud pune due pothole refm,Roads & Infrastructure,PWD,Medium,4
civil line prayagraj dumping sometimes response slow delay refm,Sanitation & Garbage,Municipal Corporation,Medium,7
transport style delay service whitefield bengaluru due token generated refm,Government Services,Revenue Department,Medium,7
average level littering seen miyapur hyderabad issue pending day refm,Sanitation & Garbage,Municipal Corporation,Medium,7
routine complaint aliganj lucknow waste urgent need attention refl,Sanitation & Garbage,Municipal Corporation,Low,13
application pending working gachibowli hyderabad day situation high impact refh,Government Services,Revenue Department,High,3
small inconvenience saket delhi littering kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,9
routine complaint laxmi nagar delhi water shortage urgent need attention refl,Water Supply,Municipal Corporation,Low,7
rajendra nagar patna road damage moderate regular last day refm,Roads & Infrastructure,PWD,Medium,5
bopal ahmedabad transport issue sometimes response slow delay refm,Public Transport,Transport Department,Medium,3
since day perungudi chennai hospital issue service completely refh,Healthcare,Health Department,High,2
small inconvenience thane west pipeline issue kindly review refl,Water Supply,Municipal Corporation,Low,7
possible improve medical problem lalpur ranchi isssue low priority refl,Healthcare,Health Department,Low,11
average level bus seen dwarka delhi issue pending day refm,Public Transport,Transport Department,Medium,6
possible improve hospital issue laxmi nagar delhi issue low priority refl,Healthcare,Health Department,Low,8
ashok vihar delhi pothole sometimes response slow ther delay refm,Roads & Infrastructure,PWD,Medium,4
please improve bus shivajinagar pune minor suggestion refl,Public Transport,Transport Department,Low,12
karol bagh delhi pothole sometimes response slow delay refm,Roads & Infrastructure,PWD,Medium,5
small inconvenience miyapur hyderabad hospital issue kindly review refl,Healthcare,Health Department,Low,14
routine complaint kondapur hyderabad broken road urgent need attention refl,Roads & Infrastructure,PWD,Low,8
pothole working nagar chennai day situation high impact refh,Roads & Infrastructure,PWD,High,1
small inconvenience viman nagar pune blackout kindly review refl,Electricity,Electricity Board,Low,13
dumping working indiranagar bengaluru day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,3
saket delhi facing bus continuously day urgent action needed refh,Public Transport,Transport Department,High,3
since day viman nagar pune road damage servce completely refh,Roads & Infrastructure,PWD,High,1
possible improve supply problem karol bagh delhi issue low priority refl,Water Supply,Municipal Corporation,Low,13
average level road damage seen thane west issue pending day refm,Roads & Infrastructure,PWD,Medium,3
routine complaint thane west record mismatch urgent need attention refl,Government Services,Revenue Department,Low,14
shivajinagar pune bad road moderate regular last day refm,Roads & Infrastructure,PWD,Medium,7
road damage working patia bhubaneswar day situation high impact refh,Roads & Infrastructure,PWD,High,3
plese improve portal status stuck whitefield bengaluru minor suggestion refl,Government Services,Revenue Department,Low,13
patia bhubaneswar facing portal status stuck continuously day urgent action needed refh,Government Services,Revenue Department,High,3
hinjewadi pune transport issue moderate regular last day refm,Public Transport,Transport Department,Medium,5
possible improve bus delay howrah maidan issue low priority refl,Public Transport,Transport Department,Low,14
anna nagar chennai doctor moderate regular last day refm,Healthcare,Health Department,Medium,3
gachibowli hyderabad severe outage day plese fix urgently refh,Electricity,Electricity Board,High,3
ashok vihar delhi doctor moderate regular last day refm,Healthcare,Health Department,Medium,5
bad road working ameerpet hyderabad day situation high impact refh,Roads & Infrastructure,PWD,High,1
please improve hospital issue kothrud pune minor suggestion refl,Healthcare,Health Department,Low,9
adyar chennai facing bus delay continuously day urgent action needed refh,Public Transport,Transport Department,High,1
kakadeo kanpur record mismatch sometimes response slow delay refm,Government Services,Revenue Department,Medium,5
gachibowli hyderabad dirty sometimes response slow delay refm,Sanitation & Garbage,Municipal Corporation,Medium,7
small inconvenience miyapur hyderabad pothole kindly review refl,Roads & Infrastructure,PWD,Low,7
kondapur hyderabad electricity sometimes response slow delay refm,Electricity,Electricity Board,Medium,3
small inconvenience laxmi nagar delhi road damage kindly review refl,Roads & Infrastructure,PWD,Low,9
possible improve medical problem behala kolkata issue low priority refl,Healthcare,Health Department,Low,12
dump working kakadeo kanpur day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,1
viman nagar pune facing broken road continuously day urgent action needed refh,Roads & Infrastructure,PWD,High,3
ashok vihar delhi facing littering continuously day urgent action needed refh,Sanitation & Garbage,Municipal Corporation,High,1
average level doctor seen salt lake kolkata isssue pending day refm,Healthcare,Health Department,Medium,4
possible improve water shortage gomti nagar lucknow isssue low priority refl,Water Supply,Municipal Corporation,Low,7
gachibowli hyderabad facing littering continuously day urgent action needed refh,Sanitation & Garbage,Municipal Corporation,High,1
transport style delay service aliganj lucknow due verification completed refm,Government Services,Revenue Department,Medium,4
average level verification completed seen behala kolkata issue pending day refm,Government Services,Revenue Department,Medium,3
electricity working thane west day situation high impact refh,Electricity,Electricity Board,High,2
andheri east mumbai late bus sometimes response slow delay refm,Public Transport,Transport Department,Medium,4
adyar chennai facing hospital issue continuously day urgent action needed refh,Healthcare,Health Department,High,2
average level medical problem seen mayur vihar delhi issue pending day refm,Healthcare,Health Department,Medium,5
please improve litter adyar chennai minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,8
application pending working thane west day situation high impact refh,Government Services,Revenue Department,High,1
average level supply problem seen nagar chennai issue pending day refm,Water Supply,Municipal Corporation,Medium,7
possible improve hospital issue salt lake kolkata issue low priority refl,Healthcare,Health Department,Low,12
saket delhi facing bus delay continuously day urgent action needed refh,Public Transport,Transport Department,High,1
please improve application pending rajendra nagar patna minor suggestion refl,Government Services,Revenue Department,Low,7
small inconvenience nerul navi mumbai broken road kindly review refl,Roads & Infrastructure,PWD,Low,7
littering working adyar chennai day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,1
supply problem working kothrud pune day situation high impact refh,Water Supply,Municipal Corporation,High,1
please improve road damage mayur vihar delhi minor suggestion refl,Roads & Infrastructure,PWD,Low,14
hospital issue working kakadeo kanpur day situation high impact refh,Healthcare,Health Department,High,3
routine complaint rajendra nagar patna appointment slot delay urgent need attention refl,Government Services,Revenue Department,Low,12
average level outage seen bopal ahmedabad issue pending day refm,Electricity,Electricity Board,Medium,3
noida sector power cut moderate regular last day refm,Electricity,Electricity Board,Medium,6
routine complaint kothrud pune power cut urgent need attention refl,Electricity,Electricity Board,Low,12
kankarbagh patna bus delay moderate regular last day refm,Public Transport,Transport Department,Medium,6
since day civil line prayagraj supply problem service completely refh,Water Supply,Municipal Corporation,High,2
since day behala kolkata outage service completely refh,Electricity,Electricity Board,High,3
average level outage seen noida sector issue pending day refm,Electricity,Electricity Board,Medium,3
appointment slot delay working hinjewadi pune day situation high impact refh,Government Services,Revenue Department,High,2
nerul navi mumbai facing bus delay continuously day urgent action needed refh,Public Transport,Transport Department,High,2
average level power cut seen perungudi chennai issue pending day refm,Electricity,Electricity Board,Medium,6
routine complaint bopal ahmedabad electricity urgent need attention refl,Electricity,Electricity Board,Low,8
aliganj lucknow pipeline issue moderate regular last day refm,Water Supply,Municipal Corporation,Medium,5
please improve supply problem howrah maidan minor suggestion refl,Water Supply,Municipal Corporation,Low,15
transport style delay service indiranagar bengaluru due road damage refm,Roads & Infrastructure,PWD,Medium,7
small inconvenience andheri east mumbai token generated kindly review refl,Government Services,Revenue Department,Low,12
routine complaint mansarovar jaipur water shortage urgent need attention refl,Water Supply,Municipal Corporation,Low,10
anna nagar chennai severe bad road day please fix urgently refh,Roads & Infrastructure,PWD,High,3
mayur vihar delhi severe bus delay day please fix urgently refh,Public Transport,Transport Department,High,1
whitefield bengaluru supply problem moderate regular last day refm,Water Supply,Municipal Corporation,Medium,4
adyar chennai severe pipeline issue day please fix urgently refh,Water Supply,Municipal Corporation,High,3
since day andheri east mumbai portal status stuck service completely refh,Government Services,Revenue Department,High,3
transport style delay service gomti nagar lucknow due water refm,Water Supply,Municipal Corporation,Medium,3
possible improve transport issue patia bhubaneswar issue low priority refl,Public Transport,Transport Department,Low,8
routine complaint nerul navi mumbai late bus urgnt need attention refl,Public Transport,Transport Department,Low,10
dwarka delhi water moderate regular last day refm,Water Supply,Municipal Corporation,Medium,4
transport style delay service gomti nagar lucknow due outage refm,Electricity,Electricity Board,Medium,7
salt lake kolkata doctor moderate regular last day refm,Healthcare,Health Department,Medium,3
ther transport style delay service thane west due electricity refm,Electricity,Electricity Board,Medium,4
thane west littering moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,6
adyar chennai appointment slot delay sometimes response slow delay refm,Government Services,Revenue Department,Medium,5
please improve bus delay howrah maidan minor suggestion refl,Public Transport,Transport Department,Low,14
small inconvenience kankarbagh patna late bus kindly review refl,Public Transport,Transport Department,Low,8
transport style delay service kothrud pune due electricity refm,Electricity,Electricity Board,Medium,3
small inconvenience banashankari bengaluru record mismatch kindly review refl,Government Services,Revenue Department,Low,10
transport style delay service anna nagar chennai due application pending refm,Government Services,Revenue Department,Medium,7
average level power cut seen anna nagar chennai issue pending day refm,Electricity,Electricity Board,Medium,7
hospital issue working mansarovar jaipur day situation high impact refh,Healthcare,Health Department,High,2
routine complaint vaishali ghaziabad broken road urgent need attention refl,Roads & Infrastructure,PWD,Low,13
please improve dump nagar chennai minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,14
gomti nagar lucknow severe water day please fix urgently refh,Water Supply,Municipal Corporation,High,1
please improve verification completed mayur vihar delhi minor suggestion refl,Government Services,Revenue Department,Low,9
possible improve hospital issue bopal ahmedabad issue low priority refl,Healthcare,Health Department,Low,13
routine complaint hinjewadi pune bus delay urgent need attention refl,Public Transport,Transport Department,Low,9
small inconvenience ameerpet hyderabad hospital issue kindly review refl,Healthcare,Health Department,Low,8
whitefield bengaluru verification completed sometimes response slow ther delay refm,Government Services,Revenue Department,Medium,6
karol bagh delhi severe power cut day please fix urgently refh,Electricity,Electricity Board,High,1
ashok vihar delhi severe water day please fix urgently refh,Water Supply,Municipal Corporation,High,3
please improve appointment slot delay shivajinagar pune minor suggestion refl,Government Services,Revenue Department,Low,11
please improve outage dwarka delhi minor suggestion refl,Electricity,Electricity Board,Low,8
kakadeo kanpur severe water day please fix urgently refh,Water Supply,Municipal Corporation,High,3
small inconvenience thane west becuse blackout kindly review refl,Electricity,Electricity Board,Low,8
since day aliganj lucknow dump service completely refh,Sanitation & Garbage,Municipal Corporation,High,1
late bus working kondapur hyderabad day situation high impact refh,Public Transport,Transport Department,High,1
since day laxmi nagar delhi pothole service completely refh,Roads & Infrastructure,PWD,High,1
please improve outage nerul navi mumbai minor suggestion refl,Electricity,Electricity Board,Low,9
routine complaint perungudi chennai bus urgent need attention refl,Public Transport,Transport Department,Low,13
routine complaint thane west hospital issue urgent need attention refl,Healthcare,Health Department,Low,11
laxmi nagar delhi record mismatch sometimes response slow delay refm,Government Services,Revenue Department,Medium,4
possible improve pothole dwarka delhi issue low priority refl,Roads & Infrastructure,PWD,Low,13
please improve trash kondapur hyderabad minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,9
vaishali ghaziabad facing pipeline issue continuously day urgent action needed refh,Water Supply,Municipal Corporation,High,3
transport style delay service gachibowli hyderabad due pipeline issue refm,Water Supply,Municipal Corporation,Medium,7
small inconvenience mayur vihar delhi doctor kindly review refl,Healthcare,Health Department,Low,9
electricity working nerul navi mumbai day situation high impact refh,Electricity,Electricity Board,High,1
small inconvenience ameerpet hyderabad late bus kindly review refl,Public Transport,Transport Department,Low,11
perungudi chennai power cut sometimes response slow delay refm,Electricity,Electricity Board,Medium,4
kakadeo kanpur severe blackout day please fix urgently refh,Electricity,Electricity Board,High,3
possible improve certificate updated kondapur hyderabad issue low priority refl,Government Services,Revenue Department,Low,13
please improve water miyapur hyderabad minor suggestion refl,Water Supply,Municipal Corporation,Low,15
please improve token generated hinjewadi pune minor suggestion refl,Government Services,Revenue Department,Low,11
bopal ahmedabad road damage moderate regular last day refm,Roads & Infrastructure,PWD,Medium,3
vaishali ghaziabad pothole sometimes response slow delay refm,Roads & Infrastructure,PWD,Medium,3
routine complaint kakadeo kanpur medical problem urgent need attention refl,Healthcare,Health Department,Low,15
please improve litter hinjewadi pune minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,10
small inconvenience dwarka delhi garbage kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,7
shivajinagar pune hospital issue sometimes response slow delay refm,Healthcare,Health Department,Medium,5
outage working karol bagh delhi day situation high impact refh,Electricity,Electricity Board,High,1
hinjewadi pune facing garbage continuously day urgent action needed refh,Sanitation & Garbage,Municipal Corporation,High,2
small inconvenience nerul navi mumbai medical problem kindly review refl,Healthcare,Health Department,Low,8
average level water shortage seen howrah maidan issue pending day refm,Water Supply,Municipal Corporation,Medium,7
small inconvenience banashankari bengaluru token generated kindly review refl,Government Services,Revenue Department,Low,10
average level road damage seen banashankari bengaluru issue pending day refm,Roads & Infrastructure,PWD,Medium,5
routine complaint noida sector road damage urgent need attention refl,Roads & Infrastructure,PWD,Low,11
transport style delay service gachibowli hyderabad due pipeline issue refm,Water Supply,Municipal Corporation,Medium,7
whitefield bengaluru dumping sometimes response slow delay refm,Sanitation & Garbage,Municipal Corporation,Medium,3
since day mayur vihar delhi dumping service completely refh,Sanitation & Garbage,Municipal Corporation,High,3
since day vaishali ghaziabad pothole servce completely refh,Roads & Infrastructure,PWD,High,2
since day behala kolkata hospital isssue service completely refh,Healthcare,Health Department,High,2
ameerpet hyderabad facing bad road continuously day urgent action needed refh,Roads & Infrastructure,PWD,High,3
small inconvenience saket delhi unhygienic kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,7
since day thane west blackout service completely refh,Electricity,Electricity Board,High,1
gomti nagar lucknow facing bus continuously day urgent action needed refh,Public Transport,Transport Department,High,1
bopal ahmedabad transport issue sometimes response slow delay refm,Public Transport,Transport Department,Medium,5
please improve token generated kankarbagh patna minor suggestion refl,Government Services,Revenue Department,Low,14
indiranagar bengaluru voltage issue sometimes response slow delay refm,Electricity,Electricity Board,Medium,6
behala kolkata severe application pending day please fix urgently refh,Government Services,Revenue Department,High,2
rajendra nagar patna facing bad road continuously day urgent action needed refh,Roads & Infrastructure,PWD,High,3
average level garbage seen viman nagar pune issue pending day refm,Sanitation & Garbage,Municipal Corporation,Medium,7
andheri east mumbai severe bus delay day please fix urgently refh,Public Transport,Transport Department,High,1
small inconvenience thane west verification completed kindly review refl,Government Services,Revenue Department,Low,11
please improve pothole kankarbagh patna minor suggestion refl,Roads & Infrastructure,PWD,Low,9
whitefield bengaluru facing bad road continuously day urgent action needed refh,Roads & Infrastructure,PWD,High,2
ameerpet hyderabad transport issue moderate regular last day refm,Public Transport,Transport Department,Medium,6
small inconvenience karol bagh delhi litter kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,9
adyar chennai water sometimes response slow delay refm,Water Supply,Municipal Corporation,Medium,4
routine complaint kothrud pune doctor urgent need attention refl,Healthcare,Health Department,Low,7
nagar chennai facing bus delay continuously day urgnt action needed refh,Public Transport,Transport Department,High,1
since day sector gurugram application pending service completely refh,Government Services,Revenue Department,High,3
please improve blackout vaishali ghaziabad minor suggestion refl,Electricity,Electricity Board,Low,15
transport style delay service hinjewadi pune due broken road refm,Roads & Infrastructure,PWD,Medium,5
andheri east mumbai dirty sometimes response slow delay refm,Sanitation & Garbage,Municipal Corporation,Medium,5
record mismatch working aliganj lucknow day situation high impact refh,Government Services,Revenue Department,High,2
perungudi chennai medical problem sometimes response slow delay refm,Healthcare,Health Department,Medium,4
since day gachibowli hyderabad waste service completely refh,Sanitation & Garbage,Municipal Corporation,High,3
since day perungudi chennai dump service completely refh,Sanitation & Garbage,Municipal Corporation,High,2
possible improve bus delay miyapur hyderabad issue low priority refl,Public Transport,Transport Department,Low,8
average level appointment slot delay seen perungudi chennai isssue pending day refm,Government Services,Revenue Department,Medium,5
indiranagar bengaluru severe late bus day please fix urgently refh,Public Transport,Transport Department,High,2
since day gachibowli hyderabad verification completed service completely refh,Government Services,Revenue Department,High,2
small inconvenience ameerpet hyderabad doctor kindly review refl,Healthcare,Health Department,Low,11
trash working mansarovar jaipur day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,1
nagar chennai facing pothole continuously day urgent action needed refh,Roads & Infrastructure,PWD,High,2
since day dwarka delhi dirty service completely refh,Sanitation & Garbage,Municipal Corporation,High,3
whitefield bengaluru severe blackout day please fix urgently refh,Electricity,Electricity Board,High,2
average level bad road seen howrah maidan issue pending day refm,Roads & Infrastructure,PWD,Medium,7
small inconvenience andheri east mumbai late bus kindly review refl,Public Transport,Transport Department,Low,12
please improve bus nerul navi mumbai minor suggestion refl,Public Transport,Transport Department,Low,13
small inconvenience karol bagh delhi certificate updated kindly review refl,Government Services,Revenue Department,Low,10
average level medical problem seen rajendra nagar patna issue pending day refm,Healthcare,Health Department,Medium,6
kakadeo kanpur water shortage sometimes response slow delay refm,Water Supply,Municipal Corporation,Medium,4
shivajinagar pune facing blackout continuously day urgent action needed refh,Electricity,Electricity Board,High,1
routine complaint noida sector verification completed urgent need attention refl,Government Services,Revenue Department,Low,10
civil line prayagraj facing appointment slot delay continuously day urgent action needed refh,Government Services,Revenue Department,High,1
blackout working patia bhubaneswar day situation high impact refh,Electricity,Electricity Board,High,2
perungudi chennai bus delay sometimes response slow delay refm,Public Transport,Transport Department,Medium,4
please improve doctor noida sector minor suggestion refl,Healthcare,Health Department,Low,15
since day rajendra nagar patna transport issue service completely refh,Public Transport,Transport Department,High,3
possible improve doctor whitefield bengaluru issue low priority refl,Healthcare,Health Department,Low,12
average level certificate updated seen nagar chennai issue pending day refm,Government Services,Revenue Department,Medium,3
howrah maidan severe water shortage day plese fix urgently refh,Water Supply,Municipal Corporation,High,2
sector gurugram power cut sometimes response slow delay refm,Electricity,Electricity Board,Medium,5
small inconvenience saket delhi verification completed kindly review refl,Government Services,Revenue Department,Low,14
routine complaint karol bagh delhi water shortage urgent need attention refl,Water Supply,Municipal Corporation,Low,7
please improve medical problem nerul navi mumbai minor suggestion refl,Healthcare,Health Department,Low,12
banashankari bengaluru water moderate regular last day refm,Water Supply,Municipal Corporation,Medium,3
routine complaint indiranagar bengaluru pothole urgent need attention refl,Roads & Infrastructure,PWD,Low,9
kothrud pune litter sometimes response slow delay refm,Sanitation & Garbage,Municipal Corporation,Medium,5
dwarka delhi facing certificate updated continuously day urgent action needed refh,Government Services,Revenue Department,High,1
since day adyar chennai bus service completely refh,Public Transport,Transport Department,High,2
possible improve pothole karol bagh delhi issue low priority refl,Roads & Infrastructure,PWD,Low,13
dwarka delhi facing supply problem continuously day urgent action needed refh,Water Supply,Municipal Corporation,High,1
salt lake kolkata facing broken road continuously day urgent action needed refh,Roads & Infrastructure,PWD,High,1
miyapur hyderabad facing token generated continuously day urgent action needed refh,Government Services,Revenue Department,High,1
patia bhubaneswar severe bus delay day please fix urgently refh,Public Transport,Transport Department,High,1
hospital issue working andheri east mumbai day situation high impact refh,Healthcare,Health Department,High,1
indiranagar bengaluru road damage sometimes response slow delay refm,Roads & Infrastructure,PWD,Medium,7
routine complaint noida sector bad road urgnt need attention refl,Roads & Infrastructure,PWD,Low,9
average level blackout seen rajendra nagar patna issue pending day refm,Electricity,Electricity Board,Medium,4
adyar chennai facing garbage continuously day urgent action needed refh,Sanitation & Garbage,Municipal Corporation,High,2
since day karol bagh delhi water service completely refh,Water Supply,Municipal Corporation,High,1
perungudi chennai power cut moderate regular last day refm,Electricity,Electricity Board,Medium,7
perungudi chennai severe water shortage day plese fix urgently refh,Water Supply,Municipal Corporation,High,3
pipeline issue working ameerpet hyderabad day situation high impact refh,Water Supply,Municipal Corporation,High,2
thane west severe water shortage day please fix urgently refh,Water Supply,Municipal Corporation,High,2
behala kolkata facing doctor continuously day urgent action needed refh,Healthcare,Health Department,High,3
pipeline issue working viman nagar pune day situation high impact refh,Water Supply,Municipal Corporation,High,3
please improve voltage issue miyapur hyderabad minor suggestion refl,Electricity,Electricity Board,Low,15
patia bhubaneswar facing supply problem continuously day urgent action needed refh,Water Supply,Municipal Corporation,High,1
supply problem working civil line prayagraj day situation high impact refh,Water Supply,Municipal Corporation,High,2
small inconvenience miyapur hyderabad outage kindly review refl,Electricity,Electricity Board,Low,12
